binder_id,af2_binder_aligned_rmsd,af2_pae_binder,af2_pae_interaction,af2_pae_target,af2_plddt_binder,af2_plddt_target,af2_plddt_total,af2_target_aligned_rmsd,af2_time
pmhc_binder_multi_target_chain,0.707,2.817,6.354,3.373,93.067,97.307,96.153,1.12,116.277
pmhc_binder_fused_target_chain,0.691,2.988,7.043,3.42,91.907,96.981,95.6,1.49,29.952
pdl1_binder,0.547,2.323,3.839,2.529,95.142,96.22,95.735,1.442,93.057
